event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,mode,from_mode,to_mode,reason,control_token,instruction,distance_to_target_m,velocity_kmh,environment_states_json,act_command,lane_command,act_set
mode_transition,43500000000,43500.0,43805.545221,1781999119268566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,44000000000,44000.0,44287.300445,1781999119768566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,44500000000,44500.0,44788.110293,1781999120268566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,45500000000,45500.0,45775.712778,1781999121268566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,46000000000,46000.0,46276.707839,1781999121768566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,51000000000,51000.0,51292.326594,1781999126768566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,52000000000,52000.0,52281.169202,1781999127768566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,54500000000,54500.0,54781.962188,1781999130268566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,55000000000,55000.0,55287.845678,1781999130768566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,56000000000,56000.0,56280.882673,1781999131768566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,56500000000,56500.0,56782.92431,1781999132268566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,57500000000,57500.0,57777.656699,1781999133268566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,58500000000,58500.0,58784.371549,1781999134268566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,59000000000,59000.0,59292.093096,1781999134768566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,59500000000,59500.0,59774.301958,1781999135268566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,60000000000,60000.0,60293.1551,1781999135768566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,60500000000,60500.0,60784.117718,1781999136268566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,63000000000,63000.0,63294.222279,1781999138768566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,63500000000,63500.0,63821.502309,1781999139268566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,65500000000,65500.0,65787.352415,1781999141268566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,66000000000,66000.0,66361.434383,1781999141768566222,1,WARNING,WARNING,MONITORING,tardy NONE,NONE,,0.0,0.0,null,,,0
mode_transition,67000000000,67000.0,67361.265818,1781999142768566222,1,MONITORING,MONITORING,WARNING,tardy WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,67500000000,67500.0,67853.836934,1781999143268566222,1,WARNING,WARNING,MONITORING,tardy NONE,NONE,,0.0,0.0,null,,,0
mode_transition,68000000000,68000.0,68348.789556,1781999143768566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,68500000000,68500.0,68899.403413,1781999144268566222,1,WARNING,WARNING,MONITORING,tardy NONE,NONE,,0.0,0.0,null,,,0
mode_transition,70500000000,70500.0,70898.141158,1781999146268566222,1,MONITORING,MONITORING,ACTUATE,tardy ACTUATE,ACTUATE,Stop before the stop sign.,0.0,0.0,null,,,0
act_command_set,71000000000,71000.0,71350.711252,1781999146768566222,0,ACTUATE,,,ACTUATE,ACTUATE,Stop before the stop sign.,79.67159399560023,0.0,"[""EXIT"", 0, 0, ""NONE"", 1, 1]",ACCEL,KEEP_LANE,1
mode_transition,71000000000,71000.0,71377.511866,1781999146768566222,1,ACTUATE,ACTUATE,MONITORING,NONE,NONE,,79.67159399560023,0.0,"[""EXIT"", 0, 0, ""NONE"", 1, 1]",,,0
mode_transition,72000000000,72000.0,72370.835175,1781999147768566222,1,MONITORING,MONITORING,WARNING,tardy WARNING,WARNING,Reduce speed.,79.67159399560023,0.0,"[""EXIT"", 0, 0, ""NONE"", 1, 1]",,,0
mode_transition,72500000000,72500.0,72865.55861,1781999148268566222,1,WARNING,WARNING,MONITORING,tardy NONE,NONE,,79.67159399560023,0.0,"[""EXIT"", 0, 0, ""NONE"", 1, 1]",,,0
mode_transition,75500000000,75500.0,75807.054389,1781999151268566222,0,MONITORING,MONITORING,ACTUATE,ACTUATE,ACTUATE,Stop before the sign.,79.67159399560023,0.0,"[""EXIT"", 0, 0, ""NONE"", 1, 1]",,,0
act_command_set,76000000000,76000.0,76350.542813,1781999151768566222,0,ACTUATE,,,ACTUATE,ACTUATE,Stop before the sign.,90.72207187818276,16.17016010480067,"[""MOVE"", 0, 0, ""NONE"", 1, 1]",ACCEL,KEEP_LANE,1
mode_transition,76000000000,76000.0,76373.829091,1781999151768566222,1,ACTUATE,ACTUATE,MONITORING,NONE,NONE,,90.72207187818276,16.17016010480067,"[""MOVE"", 0, 0, ""NONE"", 1, 1]",,,0
mode_transition,76500000000,76500.0,76797.501234,1781999152268566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,90.72207187818276,16.17016010480067,"[""MOVE"", 0, 0, ""NONE"", 1, 1]",,,0
mode_transition,77000000000,77000.0,77344.926856,1781999152768566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,90.72207187818276,16.17016010480067,"[""MOVE"", 0, 0, ""NONE"", 1, 1]",,,0
mode_transition,77500000000,77500.0,77827.430295,1781999153268566222,0,MONITORING,MONITORING,ACTUATE,ACTUATE,ACTUATE,Brake for the vehicle ahead.,90.72207187818276,16.17016010480067,"[""MOVE"", 0, 0, ""NONE"", 1, 1]",,,0
mode_transition,78000000000,78000.0,78290.413053,1781999153768566222,0,ACTUATE,ACTUATE,MONITORING,WARNING,WARNING,Increase speed.,0.0,14.90198291633339,"[""MOVE"", 0, 0, ""NONE"", 0, 0]",,,0
mode_transition,78500000000,78500.0,78836.138633,1781999154268566222,0,MONITORING,MONITORING,ACTUATE,ACTUATE,ACTUATE,Brake for the vehicle ahead.,0.0,14.90198291633339,"[""MOVE"", 0, 0, ""NONE"", 0, 0]",,,0
mode_transition,79000000000,79000.0,79280.442514,1781999154768566222,0,ACTUATE,ACTUATE,MONITORING,NONE,NONE,,0.0,0.0,"[""MOVE"", 0, 0, ""NONE"", 0, 0]",,,0
mode_transition,83000000000,83000.0,83358.950495,1781999158768566222,1,MONITORING,MONITORING,ACTUATE,tardy ACTUATE,ACTUATE,Stop before the sign.,0.0,0.0,"[""MOVE"", 0, 0, ""NONE"", 0, 0]",,,0
act_command_set,83500000000,83500.0,83850.999221,1781999159268566222,0,ACTUATE,,,ACTUATE,ACTUATE,Stop before the sign.,0.0,0.0,"[""MOVE"", 0, 0, ""NONE"", 0, 0]",ACCEL,KEEP_LANE,1
mode_transition,83500000000,83500.0,83898.646096,1781999159268566222,1,ACTUATE,ACTUATE,MONITORING,NONE,NONE,,0.0,0.0,"[""MOVE"", 0, 0, ""NONE"", 0, 0]",,,0
